BookID,campaign,BookTitle,Season,television,fake_misc,score,hard,fake_date_of_birth,difference,maintain,xyz,fake_zipcode,Promotions,dinner,military,xy,course,fake_name,size,fake_surname,such,your,DailySales,Date
1389.0,-0.3085917446238642,Itself education rate.,Fall,0.07,'life',0.16773208622551844,0.03,1909-05-28,19906,1.19,event,46718,False,1.19,1.1943943491931934,'could',1.0656974559516847,Robert,-2.0850296762606915,Wood,1.1943943491931934,-0.3085917446238642,39.0,2021-04-04
8416.0,-0.12781581299407702,Card traditional media total the.,Winter,0.07,'night',-0.22515403289900346,0.03,1979-04-18,20928,0.62,pick,34205,True,0.62,0.6235624602882852,'same',1.069668582965289,John,-0.5174849028804415,Hill,0.6235624602882852,-0.12781581299407702,48.0,2022-10-30
8976.0,-0.5365677690215697,Interview institution economy lot never.,Winter,0.07,'financial',0.5195691381408661,0.03,1979-03-02,26955,1.98,sport,83173,True,1.98,nan,'fire',1.3669691209370325,Samuel,-0.4915865075904735,Becker,1.9770858373828952,-0.5365677690215697,4.0,2023-06-13
8976.0,-0.2412435194781064,Interview institution economy lot never.,Winter,0.07,'fish',0.16584742947791611,0.03,2006-01-30,18912,0.92,meet,51443,False,0.92,0.9185395955118905,'later',0.7590743519511816,Sarah,-0.3487752610068693,Rogers,0.9185395955118905,-0.2412435194781064,46.0,2023-04-14
8976.0,-0.31575740085837145,Interview institution economy lot never.,Summer,0.07,'future',1.598197802260493,0.03,1959-02-18,16654,0.6,operation,14865,False,0.6,0.5982163731882026,'blue',1.9515949460056743,Christopher,-0.9198106131509073,Diaz,0.5982163731882026,nan,46.0,2021-10-24
10570.0,-0.4273891850149561,Success rich eye.,Summer,0.07,'learn',nan,0.03,1912-07-30,27746,1.14,style,75229,False,1.14,1.1372242458459247,'out',1.0446677765756283,Donald,-0.15278236710023552,Wilson,1.1372242458459247,-0.4273891850149561,38.0,2020-02-22
9905.0,-0.0933597224002218,Must summer happen key.,Spring,0.07,'stay',nan,0.03,1911-05-18,22897,0.47,stock,28561,True,0.47,nan,'mission',0.8418677072162692,Haley,-1.2913307290649598,Porter,0.4678848032161811,-0.0933597224002218,9.0,2023-01-04
8976.0,-0.08395427513154075,Interview institution economy lot never.,Summer,0.07,'suggest',-0.3447816029333847,0.03,1970-04-16,27374,0.5,soon,82185,False,0.5,0.4956903759047362,'around',1.1224537538080925,Jennifer,-1.1019178306413826,Perry,0.4956903759047362,-0.08395427513154075,43.0,2021-04-10
8416.0,-0.42613116269133294,Card traditional media total the.,Spring,0.07,'none',0.4560823220950381,0.03,1996-04-12,18007,1.55,class,76160,True,1.55,1.5511577905167977,'technology',0.992963208199406,Alyssa,-1.0869136949167124,Anderson,1.5511577905167977,-0.42613116269133294,7.0,2024-05-16
10570.0,-0.5015747866257381,Success rich eye.,Spring,0.07,'upon',1.0953522288890465,0.03,1924-10-29,24920,1.58,development,90195,True,1.58,1.5815087748170065,'natural',0.022242513886506554,Michael,-0.6982655364920956,Robinson,1.5815087748170065,-0.5015747866257381,15.0,2021-09-23
8976.0,-0.2100885629503212,Interview institution economy lot never.,Fall,0.07,nan,-0.03941906200438909,0.03,1922-01-03,25304,0.88,although,02150,True,0.88,0.8803227864625524,'actually',1.0530858616720793,Patrick,-0.14091087838694719,Robertson,0.8803227864625524,-0.2100885629503212,18.0,2022-02-26
1389.0,-0.18895004085246908,Itself education rate.,Spring,0.07,'bag',-0.08400291566544936,0.03,2022-03-14,10097,0.81,buy,07096,True,0.81,0.8129806133734813,'owner',1.0506561605188762,Joshua,-2.191770332050811,Anthony,0.8129806133734813,-0.18895004085246908,25.0,2022-08-17
9905.0,-0.4749468946032185,Must summer happen key.,Summer,0.07,'collection',1.734064839361883,0.03,2012-08-29,11510,1.19,center,81162,True,1.19,1.1927747586371624,'relationship',1.5070621139304419,Melissa,-0.356455786555902,Robinson,1.1927747586371624,-0.4749468946032185,48.0,2022-12-11
9905.0,-0.18517795258080977,Must summer happen key.,Spring,0.07,'as',-0.015618745892427567,0.03,1921-03-15,12644,0.77,hair,70523,False,0.77,0.7675762794553217,'prove',0.8874342012384797,John,-0.5160481561017785,Cervantes,0.7675762794553217,-0.18517795258080977,45.0,2021-10-07
1389.0,-0.0011856433626529174,Itself education rate.,Summer,0.07,'stay',-0.3931257192037468,0.03,1986-09-23,12061,0.18,explain,26528,False,0.18,0.17680482731002722,'six',0.8437751769150635,Anthony,-0.5438015954613664,Ramirez,0.17680482731002722,-0.0011856433626529174,42.0,2022-12-01
8416.0,-0.43590836835422764,Card traditional media total the.,Fall,0.07,nan,0.4466928820621378,0.03,2021-07-18,19764,1.6,account,48452,False,1.6,1.5954308486523359,'church',1.0580824847172288,Heather,-1.210382609061763,Fletcher,1.5954308486523359,-0.43590836835422764,5.0,2021-08-25
8416.0,-0.2479042905854542,Card traditional media total the.,Winter,0.07,'life',1.5405755316199667,0.03,1948-02-09,10197,0.34,their,16700,True,0.34,0.3446643670634122,'every',2.141691202661462,Ryan,-0.6791921419241791,Bates,0.3446643670634122,-0.2479042905854542,36.0,2024-03-24
10570.0,-0.19911419373923733,Success rich eye.,Fall,0.07,'somebody',-0.03260163667244533,0.03,1976-10-03,21491,0.83,establish,10488,True,0.83,0.832256431826618,'training',0.9879292966226115,Derek,-0.02794777127829265,Snyder,0.832256431826618,-0.19911419373923733,44.0,2020-04-04
1389.0,-0.4043108373214075,Itself education rate.,Spring,0.07,nan,0.5300486357267267,0.03,1949-01-18,17996,1.43,argue,11087,False,1.43,1.4291665913587073,'agent',0.7345907790409218,Craig,-0.4249196023936837,Miller,1.4291665913587073,-0.4043108373214075,43.0,2023-11-16
8976.0,-0.29785192758967893,Interview institution economy lot never.,Winter,0.07,nan,1.1935711416427013,0.03,1999-02-06,18773,0.7,edge,92065,False,0.7,0.7016212994928321,'indeed',1.1713522996709578,Don,-1.8046029093892233,Moore,0.7016212994928321,-0.29785192758967893,13.0,2024-04-16
8976.0,-0.3198817066582593,Interview institution economy lot never.,Summer,0.07,'until',1.6413793354847441,0.03,1984-04-08,17631,0.6,win,60521,False,0.6,0.5962742938982483,'health',2.0246525571169096,Dawn,-1.6541460305732973,Martin,0.5962742938982483,-0.3198817066582593,38.0,2020-06-12
1389.0,-0.41315556949708654,Itself education rate.,Fall,0.07,'film',0.26907610693811973,0.03,1991-02-14,10897,1.58,happen,18519,False,1.58,1.5796390278026355,'life',1.3318881154679567,Stephen,-0.388214991591073,Haynes,1.5796390278026355,-0.41315556949708654,14.0,2020-08-21
8976.0,-0.5593481893173448,Interview institution economy lot never.,Summer,0.07,'material',2.813183347219612,0.03,1954-05-10,21067,1.07,chance,98219,False,1.07,1.0675572270035176,'thank',3.4188897197477495,Lauren,-0.017860700974917706,Nelson,1.0675572270035176,-0.5593481893173448,8.0,2021-12-10
10570.0,-0.2983366092814255,Success rich eye.,Fall,0.07,'staff',1.6380621836059022,0.03,1991-12-20,29254,0.51,speech,85824,False,0.51,0.5092137947263444,'son',2.1169552311734465,Michael,-0.6371947172595566,Fisher,0.5092137947263444,-0.2983366092814255,3.0,2021-01-25
10570.0,-0.3624553704808182,Success rich eye.,Fall,0.07,'learn',1.5421224817599324,0.03,1947-05-21,10439,0.81,enjoy,07071,True,0.81,0.8145849064995554,'current',1.6166260050914518,Melissa,-0.9305107655361015,Powell,0.8145849064995554,-0.3624553704808182,46.0,2021-06-16
8976.0,-0.18399285590720138,Interview institution economy lot never.,Spring,0.07,'weight',0.9804941222856575,0.03,2020-01-23,16270,0.33,series,35741,False,0.33,0.3270565766906286,'federal',1.2421561398274021,Pamela,-2.216877677335556,Thomas,0.3270565766906286,-0.18399285590720138,5.0,2020-03-26
